"Add to Cart","Купити"
"Add to Cart %1","Купити %1"
"Add %1 to Cart","Додати %1 до кошика"
"In stock","В наявності"
"New","Новинка"
"Sale","Розпродаж"
"Home","Головна"
"More Information","Більше інформації"
"Material","Матеріал"
"Size","Розмір"
"Color","Колір"
"Product Options:","Опції продукту:"
"Women","Жінкам"
"SKU","Артикул"
"Style","Стиль"
"Tops","Топи"
"What's New","Що нового"
"Trust badges","Значки довіри"
"Username","Ім'я"
"Fast delivery","Швидка доставка"
"Pay on delivery","Оплата при доставці"
"Easy returns","Легке повернення"
"Pattern","Візерунок"
"Related Products","Супутні товари"
"Company","Компанія"
"Legal","Юридична інформація"
"Newsletter","Новини"
"Cart","Кошик"
"Cart is empty","Кошик порожній"
"View cart","Переглянути кошик"
"Toggle minicart","Відкрити/закрити міні-кошик"
"Close minicart","Закрити міні-кошик"
"%1 item","%1 товар"
"%1 items","%1 товарів"
"Remove item %1","Видалити товар %1"
"Remove product ""%0"" from cart","Видалити товар ""%0"" з кошика"
"The price depends on the chosen options","Ціна залежить від обраних опцій"
"Main menu","Головне меню"
"Open menu","Відкрити меню"
"Close menu","Закрити меню"
"Site navigation","Навігація по сайту"
"Toggle search form","Відкрити/закрити форму пошуку"
"Store logo","Логотип магазину"
"Go to Home page","Перейти на головну"
"Back to main categories","Повернутися до головних категорій"
"Show submenu for %1 category","Показати підменю для категорії %1"
"Open %1 subcategories","Відкрити підкатегорії %1"
"Subcategories","Підкатегорії"
"Product list","Список товарів"
"Product filters","Фільтри товарів"
"filter","фільтр"
"Active filtering","Активні фільтри"
"Remove active %1 filter: %2","Видалити активний фільтр %1: %2"
"%1 filter options","Опцій фільтра %1"
"%1 filter, %2 available products","Фільтр %1, %2 доступних товарів"
"%1 filter, 1 available product","Фільтр %1, 1 доступний товар"
"Filter %1 %2","Фільтр %1 %2"
"Products view mode","Режим перегляду товарів"
"Products view mode - %1","Режим перегляду товарів - %1"
"Show items per page","Показати товарів на сторінці"
"Skip to product list","Перейти до списку товарів"
"Click to view image in fullscreen","Натисніть для перегляду у повноекранному режимі"
"Close fullscreen","Закрити повноекранний режим"
"Gallery modal fullscreen","Галерея у повноекранному режимі"
"Main image","Головне зображення"
"%1 thumbnail","Мініатюра %1"
"Play video","Відтворити відео"
"%1 rating. %2 out of %3 stars","Рейтинг %1. %2 з %3 зірок"
"%1 rating. %2 out of %3 stars. Click to go to reviews.","Рейтинг %1. %2 з %3 зірок. Натисніть для перегляду відгуків."
"%1 stars","%1 зірок"
"1 star","1 зірка"
"Review score","Оцінка відгуку"
"You're reviewing:","Ви оцінюєте:"
"Submitting your review failed, please try again.","Не вдалося надіслати відгук, спробуйте ще раз."
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Тільки зареєстровані користувачі можуть писати відгуки. Будь ласка, <a href=""%1"" class=""underline"">Увійдіть</a> або <a href=""%2"" class=""underline"">створіть акаунт</a>"
"Add to cart selected products from list","Додати вибрані товари з списку до кошика"
"Could not add item to wishlist.","Не вдалося додати товар до списку бажань."
"Could not add item to your Wish List.","Не вдалося додати товар до вашого списку бажань."
"Could not remove item from your Wish List.","Не вдалося видалити товар з вашого списку бажань."
"Go to Wish List page","Перейти до списку бажань"
"Remove product ""%1"" from My Wish List","Видалити товар ""%1"" з мого списку бажань"
"Could not remove all item from compare.","Не вдалося видалити всі товари з порівняння."
"Could not remove item from compare.","Не вдалося видалити товар з порівняння."
"Remove product ""%1"" from the comparison","Видалити товар ""%1"" з порівняння"
"You removed all products from the comparison list","Ви видалили всі товари зі списку порівняння"
"You removed product %1 from the comparison list","Ви видалили товар %1 зі списку порівняння"
"Remove all Products","Видалити всі товари"
"Show Add To Compare In Product List","Показати Додати до порівняння у списку товарів"
"Show Add To Compare On Product Page","Показати Додати до порівняння на сторінці товару"
"Show Compare Sidebar On Product List","Показати бічну панель порівняння у списку товарів"
"You might also like:","Вам також може сподобатися:"
"We found other products you might like!","Ми знайшли інші товари, які можуть вам сподобатися!"
"Popular Products","Популярні товари"
"Show Recently Viewed Products","Показати нещодавно переглянуті товари"
"Enable Recently Viewed Products","Увімкнути нещодавно переглянуті товари"
"Show Recently Viewed on Product Detail Pages","Показати нещодавно переглянуті на сторінках товарів"
"Show Recently Viewed on Product Listing Pages","Показати нещодавно переглянуті на сторінках списків товарів"
"Product ""%0""","Товар ""%0"""
"Product ""%1"" is not salable","Товар ""%1"" недоступний для продажу"
"Configure %1 on the product page","Налаштуйте %1 на сторінці товару"
"Final product price ","Остаточна ціна товару "
"Select product ""%1"" to reorder","Виберіть товар ""%1"" для повторного замовлення"
"Edit product ""%0""","Редагувати товар ""%0"""
"Update item","Оновити товар"
"You removed the item.","Ви видалили товар."
"Could not remove item from quote.","Не вдалося видалити товар з кошика."
"Cannot add product to cart","Не вдалося додати товар до кошика"
"Contact","Контакти"
"Contact Details","Контактні дані"
"Customer Address","Адреса клієнта"
"Edit %1","Редагувати %1"
"Edit Address - billing default","Редагувати адресу - адреса для рахунків за замовчуванням"
"Edit Address - shipping default","Редагувати адресу - адреса доставки за замовчуванням"
"Edit contact information","Редагувати контактну інформацію"
"Edit newsletters","Редагувати підписки на розсилки"
"Email Address:","Електронна адреса:"
"It's a default billing address.","Це адреса для рахунків за замовчуванням."
"It's a default shipping address.","Це адреса доставки за замовчуванням."
"Created at","Створено"
"View all orders","Переглянути всі замовлення"
"View all recent orders","Переглянути всі останні замовлення"
"View order","Переглянути замовлення"
"Track Shipment","Відстежити відправлення"
"Order %1 canceled.","Замовлення %1 скасовано."
"You have signed out","Ви вийшли з системи"
"You have signed out and will be redirected to our homepage in 5 seconds.","Ви вийшли з системи і будете перенаправлені на головну сторінку через 5 секунд."
"Thank you for your visit, we're looking forward to see you again soon.","Дякуємо за візит, ми з нетерпінням чекаємо на вашу наступну зустріч."
"Hide Password","Сховати пароль"
"Password hidden","Пароль схований"
"Password shown","Пароль показаний"
"Confirm password hidden","Підтвердження пароля схованe"
"confirm password shown","підтвердження пароля показане"
"Close message","Закрити повідомлення"
"Close panel","Закрити панель"
"Message Display","Відображення повідомлень"
"Success Message Default Timeout","Тайм-аут успішних повідомлень за замовчуванням"
"The number of milliseconds, after which success messages disappear by default. Leave empty to disable automatic hiding.","Кількість мілісекунд, після яких успішні повідомлення зникають за замовчуванням. Залиште порожнім, щоб вимкнути автоматичне приховування."
"Carousel","Карусель"
"Carousel %1","Карусель %1"
"Display slide %1","Показати слайд %1"
"Next slide","Наступний слайд"
"Previous slide","Попередній слайд"
"Jump backward","Перейти назад"
"Press to go to carousel navigation","Натисніть для переходу до навігації каруселі"
"Press to skip carousel","Натисніть, щоб пропустити карусель"
"Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links.","Навігація по елементах каруселі можлива за допомогою клавіші Tab. Ви можете пропустити карусель або перейти до навігації каруселі за допомогою посилань."
"Please enter a valid date range.","Будь ласка, введіть коректний діапазон дат."
"Please enter a valid number range.","Будь ласка, введіть коректний діапазон чисел."
"Please enter a valid range.","Будь ласка, введіть коректний діапазон."
"Please enter a valid value. The two nearest valid values are ""%0"" and ""%1"".","Будь ласка, введіть коректне значення. Два найближчі коректні значення: ""%0"" та ""%1""."
"Please enter a value greater than or equal to ""%0"".","Будь ласка, введіть значення більше або рівне ""%0""."
"Please enter a value less than or equal to ""%0"".","Будь ласка, введіть значення менше або рівне ""%0""."
"Please enter at least %0 characters.","Будь ласка, введіть принаймні %0 символів."
"Please enter at least 1 character.","Будь ласка, введіть принаймні 1 символ."
"Please enter no more than %0 characters.","Будь ласка, введіть не більше %0 символів."
"Please enter no more than 1 character.","Будь ласка, введіть не більше 1 символа."
"Please match the requested format.","Будь ласка, використовуйте запитуваний формат."
"Please match the requested format: %0.","Будь ласка, використовуйте запитуваний формат: %0."
"Please provide at least one upper case, one lower case, one digit and one special character (#?!@$%^&*-)","Будь ласка, використовуйте принаймні одну велику літеру, одну малу літеру, одну цифру та один спеціальний символ (#?!@$%^&*-)"
"Please verify you've entered all required information","Будь ласка, переконайтеся, що ви ввели всю необхідну інформацію"
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","Пароль повинен містити принаймні %1 або більше з: великих літер (A-Z), малих літер (a-z), цифр та символів."
"The telephone number is too short.","Номер телефону занадто короткий."
"This field value must be the same as ""%0"".","Значення цього поля повинно співпадати з ""%0""."
"Please enable LocalStorage in your browser.","Будь ласка, увімкніть LocalStorage у вашому браузері."
"The 'Min' value must be lower than the 'Max' value.","Значення 'Мін' повинно бути меншим за значення 'Макс'."
"The 'From' date must precede the 'To' date.","Дата 'Від' повинна бути раніше дати 'До'."
"Add one or more recipients before sending the message.","Додайте одного або більше одержувачів перед відправкою повідомлення."
"Please select a file.","Будь ласка, виберіть файл."
"Please select one of the options.","Будь ласка, виберіть один з варіантів."
"Something went wrong. Please try again.","Щось пішло не так. Будь ласка, спробуйте ще раз."
"You are sharing","Ви ділитеся"
"Invitees","Запрошені"
"Item %1","Товар %1"
"Don't see what you're looking for?","Не знайшли те, що шукаєте?"
"What's this?","Що це?"
"Read our policy","Ознайомтеся з нашою політикою"
"form appears when field is selected","форма з'являється при виборі поля"
"opens in new window","відкривається в новому вікні"
"incl.","вкл."
"excl.","без"
"%1 search results","%1 результатів пошуку"
"1 search result","1 результат пошуку"
"%0 of %1 products in cart displayed","Показано %0 з %1 товарів у кошику"
"<strong>%1 item</strong> was found using the following search criteria","<strong>%1 товар</strong> знайдено за такими критеріями пошуку"
"Watches","Годинники"
"PayPal Logo","Логотип PayPal"
"Are you sure you want to delete this PayPal account?","Ви впевнені, що хочете видалити цей обліковий запис PayPal?"
"Error initializing Express Checkout, please try again later or choose a different checkout method.","Помилка ініціалізації експрес-оформлення, спробуйте пізніше або виберіть інший спосіб оформлення."
"Google Tag Manager","Google Tag Manager"
"Lazyload Tag Manager","Відкладене завантаження Tag Manager"
"Hyva Themes","Hyva теми"
"Hyvä Client-Side Breadcrumbs Rendering","Відображення хлібних крихт на стороні клієнта Hyvä"
"Enabling client side breadcrumb rendering can impact frontend performance for large category trees.","Увімкнення відображення хлібних крихт на стороні клієнта може вплинути на продуктивність фронтенду для великих дерев категорій."
"Not supported on Hyvä Themes storefronts for compatibility and performance reasons.","Не підтримується у вітринах Hyvä Themes з міркувань сумісності та продуктивності."
"Enable on Product Detail Pages","Увімкнути на сторінках деталей товарів"
"Luma Fallback module expected","Очікується модуль Luma Fallback"
"Notify me when the price drops","Повідомте мене, коли ціна знизиться"
"Notify me when this product is in stock","Повідомте мене, коли цей товар буде в наявності"
"Unable to find the SVG icon ""%1""","Не вдалося знайти SVG іконку ""%1"""
"Site navigation links","Посилання навігації сайту"
"%1 options","Опцій %1"
"As low as","Ціна"
"Skip to Content","Перейти до контенту"
"Qty","Кількість"
"Quantity","Кількість"
"Price","Ціна"
"Add to Wish List","Додати до списку бажань"
"Add to Compare","Додати до порівняння"
"Search","Пошук"
"Search entire store here...","Шукати в магазині..."
"My Account","Мій акаунт"
"Sign In","Увійти"
"Create an Account","Створити акаунт"
"Welcome","Ласкаво просимо"
"Default welcome msg!","Ласкаво просимо до нашого магазину!"
